metric,value
eval.f1,0.9058
eval.fpr,0.1341
eval.precision,0.8982
eval.recall,0.9135
eval.roc_auc,0.9579
simulation.bootstrap_mean_f1,0.9057
simulation.bootstrap_std,0.0056
simulation.robustness_score,0.8783
simulation.worst_noise_f1,0.8623
training.adversarial_epsilon,0.05
training.adversarial_sample_count,8002.0
training.drift_rows_added,300.0
training.l3_count,0.0
training.n_estimators,200.0
training.n_fraud,9030.0
training.n_non_fraud,6974.0
training.total_rows,16004.0
training.train_f1,0.9283
