metric,value
eval.f1,0.8974
eval.fpr,0.1485
eval.precision,0.8877
eval.recall,0.9073
eval.roc_auc,0.9521
simulation.bootstrap_mean_f1,0.8967
simulation.bootstrap_std,0.0065
simulation.robustness_score,0.8626
simulation.worst_noise_f1,0.8405
training.adversarial_epsilon,0.05
training.adversarial_sample_count,7726.0
training.drift_rows_added,24.0
training.l3_count,0.0
training.n_estimators,200.0
training.n_fraud,8714.0
training.n_non_fraud,6738.0
training.total_rows,15452.0
training.train_f1,0.9278
