annotation.key_features.payment_method,annotation.key_features.fraud_channel,annotation.key_features.victim_action,annotation.key_features.request_type,annotation.key_features.impersonated_entity,annotation.key_features.currency,annotation.key_features.urgency_level,annotation.psychological_tactics.urgency,annotation.psychological_tactics.fear,annotation.psychological_tactics.authority,annotation.psychological_tactics.reward,annotation.key_features.amount_normalized,annotation.key_features.has_amount
card,social_media,unknown,none,bank,unknown,-0.013043705012076303,-0.058898549255960435,-0.11232623305510807,-0.09367944318608812,-0.015245135767177335,-972.9918645139455,0
unknown,phone,sent_money | shared_credentials | clicked_link | installed_app | none | unknown,trade,cyber_police,unknown,-0.0019975265319402014,0.05094869187384747,-0.016063735783365028,0.8620606365962837,-0.0017220715782619795,11693.436020744793,0
unknown,email,sent_money,none,bank,unknown,0.0047026662612579114,-0.07255026035919342,0.9183558478103222,-0.017090170951999765,0.010175673965407174,-609.6703579324081,1
unknown,unknown,unknown,payment,bank_|_government_|_company_|_individual_|_none_|_unknown,unknown,-0.03099378130803141,1.0553277215308507,-0.03177819612448781,-0.0013507871231713507,0.008421044599925905,967.996081412467,1
unknown,sms | email | phone | social_media | website | app | unknown | none,none,payment,ice_agent,unknown,-0.011701467691221408,-0.11222279819414593,-0.019695043865040954,-0.11602023674704393,-0.0037425579121734645,758.1762022207516,0
upi,sms,clicked_link,mining,none,unknown,0.007470622568241045,-0.0799670597056885,-0.006501464980412711,-0.07718546648977409,-0.0072467819498765245,-1482.5202514484952,0
unknown,discord,installed_app,payment,none,unknown,0.01655771124672677,-0.004675556621002155,0.9211142170318831,0.8851295398954343,-0.014596437977147683,301.0742859395237,1
unknown,social_media,shared_credentials,payment,unknown,unknown,-0.03214556458398086,-0.1125241835316288,1.1192569434801012,0.8410030196068322,-0.002282637828939149,2291.726288833614,1
card,phone,clicked_link,none,twitter,unknown,0.03192437910164153,0.0840828625655558,0.11321397771275803,0.8880510343671121,0.002880196427098414,-3513.188349190195,1
crypto,email,shared_credentials,payment,bank,unknown,0.021175721226336795,1.0409004464945675,0.08971384546442929,-0.1333872482330932,0.0020258161334822905,2116.128130786801,0
unknown,unknown,shared_credentials,payment,none,unknown,-0.0011747344588344275,0.8346226829255927,-0.008105989869811682,-0.10686424761579072,-0.000731856503059234,-2992.631891899235,0
unknown,social_media,clicked_link,verification,none,unknown,-0.015116757393824109,0.03753205898779555,0.0665534635208369,0.8676838173395671,0.013997046610668425,744.068544025113,0
upi,unknown,unknown,none,none,unknown,0.0022455589669289266,0.044105137403080745,1.23013785027498,-0.03654928471204886,0.0028019290962225784,-639.5660252490142,0
upi,sms,clicked_link,transaction,company,USD,0.021634831828307145,1.1378066932238402,1.1244403357984605,-0.02131259668093788,-0.0026496175525379086,-650.3701091310303,1
upi,sms,clicked_link,none,google,USD,0.017368019532262205,0.9474332421433019,0.9411939675445516,-0.009575378909583439,-0.003053475288313056,-572.4796850833498,0
upi,sms,shared_credentials,transaction,landlord,unknown,-0.006379957464255748,0.8685076301826227,0.010033526322108056,0.9832668161095575,0.0031244405252834743,792.9578249277282,0
unknown,social_media,sent_money | shared_credentials | clicked_link | installed_app | none | unknown,payment,none,unknown,-0.012547536676777321,0.13914615278815148,-0.037934025737181215,-0.053971693857120785,-0.008270987926380468,-1599.129186841374,1
gift_card,website,changed_password,commerce,bank_|_government_|_company_|_individual_|_none_|_unknown,INR,0.015158328610412114,0.9907198687761499,-0.1096202068058011,-0.008645627336282054,-0.005636878806042937,2144.2816667194747,0
unknown,email,none,login,none,unknown,0.015463090984547328,1.177621886296976,0.0068469281409315064,0.03548752156835427,0.0002989675094721293,-178.19662055853752,0
unknown,sms | email | phone | social_media | website | app | unknown | none,sent_credentials,none,unknown,unknown,-0.005658506073648883,0.943535855032176,0.08658805165899189,-0.0945644127795072,-0.003150655283747523,1951.7101677821238,1
bank,website,shared_credentials,payment | verification | login | download | none | unknown,bank,unknown,0.008618719538998903,1.003459614897621,-0.08584743812675279,0.0740620161559308,-0.0007006143610270933,-1196.0136331693016,0
unknown,sms,none,payment,company,unknown,0.015186053013415123,0.01842662605315962,0.9659557231421464,1.015644955460941,-0.0013092977340733582,-2394.5158849832424,1
upi | card | bank | crypto | gift_card | unknown | none,none,none,payment | verification | login | download | none | unknown,unknown,unknown,-0.013576170053363264,1.1688354800273455,-0.02860026082703368,-0.09820033790663912,-0.007203488860868508,170.16098524490565,0
