metric,value
eval.f1,0.9
eval.fpr,0.1471
eval.precision,0.8891
eval.recall,0.9111
eval.roc_auc,0.9552
simulation.bootstrap_mean_f1,0.9028
simulation.bootstrap_std,0.0058
simulation.robustness_score,0.8698
simulation.worst_noise_f1,0.8476
training.adversarial_epsilon,0.05
training.adversarial_sample_count,7742.0
training.drift_rows_added,40.0
training.l3_count,0.0
training.n_estimators,200.0
training.n_fraud,8730.0
training.n_non_fraud,6754.0
training.total_rows,15484.0
training.train_f1,0.9263
